lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users
52.5,13.405000000000001,78,394.21999999999997,5.054102564102564,17.440598307692305,66,66
52.5,13.41,181,744.33,4.112320441988951,14.081491685082874,102,126
52.5,13.415000000000001,342,1740.27,5.088508771929824,17.744103295321636,258,287
52.5,13.42,1196,6925.98,5.790953177257525,15.172324429765887,772,961
52.5,13.425,626,3422.11,5.466629392971246,14.567305653354632,436,512
52.5,13.43,1097,6761.33,6.163473108477667,13.820237003646309,757,905
52.5,13.435,509,2930.57,5.757504911591356,14.310248862475442,384,424
52.5,13.44,1257,7965.32,6.336770087509944,14.234725540970565,851,1064
52.5,13.445,1428,8968.01,6.280119047619047,13.889017273109243,933,1137
52.5,13.450000000000001,558,3496.0,6.265232974910394,11.270430100358423,417,415
52.5,13.455,291,2030.61,6.978041237113402,10.809736577319587,230,215
52.5,13.46,340,2321.15,6.826911764705883,10.287500014705882,239,212
52.5,13.465,370,2361.1,6.381351351351351,11.28945945945946,266,264
52.5,13.47,137,617.24,4.505401459854014,15.47153283211679,112,123
52.5,13.475,5,27.39,5.478,10.9333332,4,5
52.5,13.48,1,4.55,4.55,24.45,1,1
52.5,13.52,1,5.6,5.6,36.65,1,1
52.505,13.27,1,1.76,1.76,18.0,1,1
52.505,13.280000000000001,7,42.1,6.014285714285714,20.021428571428572,6,7
52.505,13.290000000000001,1,5.3,5.3,4.533333,1,1
52.505,13.295,19,64.22,3.38,14.595614105263158,14,16
52.505,13.3,128,683.63,5.340859375,12.0205729296875,81,111
52.505,13.305,517,2559.03,4.949767891682786,12.931431323017408,331,421
52.505,13.31,199,1059.35,5.323366834170854,14.208207703517587,160,181
52.505,13.315,890,5142.15,5.777696629213483,13.557902616853932,592,676
52.505,13.32,1117,5790.76,5.18420769919427,11.958758581020591,714,852
52.505,13.325000000000001,1620,8425.34,5.200827160493827,12.042037035185185,934,1200
52.505,13.33,4386,22332.47,5.091762425900593,13.032668344277246,1695,3274
52.505,13.335,5307,25914.52,4.883082720934615,14.730808359902015,1903,3996
52.505,13.34,3417,17911.42,5.241855428738659,14.338557213930347,1565,2731
52.505,13.345,1459,8275.95,5.6723440712817,13.840827044551062,874,1096
52.505,13.35,1426,8071.41,5.660175315568022,14.942239366058905,876,1078
52.505,13.355,417,2199.35,5.274220623501199,17.056235038369305,324,327
52.505,13.36,108,629.8,5.8314814814814815,16.760648185185186,101,91
52.505,13.365,301,1803.29,5.990996677740863,14.844905867109633,244,266
52.505,13.370000000000001,320,1472.28,4.600875,15.828437521875,220,261
52.505,13.375,825,3930.59,4.764351515151516,14.53507069939394,521,646
52.505,13.38,868,4521.55,5.209158986175115,14.283947771889402,594,726
52.505,13.385,1285,7027.34,5.4687470817120625,14.529312584435797,865,1071
52.505,13.39,1533,8636.21,5.6335355512067835,16.054272672537508,1005,1275
52.505,13.395,743,4256.96,5.729421265141319,13.92108568371467,532,569
52.505,13.4,558,2941.06,5.270716845878136,11.773894853046594,365,417
52.505,13.405000000000001,56,299.32,5.345,11.244940517857144,43,48
52.505,13.41,155,785.74,5.069290322580645,13.571935477419354,102,126
52.505,13.415000000000001,212,1215.85,5.735141509433962,14.778144646226414,167,194
52.505,13.42,471,2534.43,5.380955414012739,16.7497876985138,331,385
52.505,13.425,57,281.57,4.939824561403508,13.680701736842105,40,51
52.505,13.43,358,2300.25,6.425279329608938,13.346182466480448,294,319
52.505,13.435,234,1282.88,5.482393162393163,12.001994316239315,163,204
52.505,13.44,1511,8680.05,5.744573130377233,12.438285911978822,897,1202
52.505,13.445,3790,20259.69,5.345564643799472,13.07752418469657,1611,2889
52.505,13.450000000000001,2983,17269.87,5.789430103922226,12.099240143144485,1475,2293
52.505,13.455,191,1016.79,5.323507853403141,9.710907502617802,157,158
52.505,13.46,161,965.23,5.995217391304348,8.08395446583851,136,134
