lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.49,13.46,40.0,199.44,4.986,19.804583325,37.0,39.0,45.0,5.0
52.49,13.465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
52.49,13.47,3.0,13.170000000000002,4.390000000000001,12.327777666666668,3.0,3.0,1.0,-2.0
52.49,13.475,2.0,7.9399999999999995,3.9699999999999998,26.6666665,2.0,2.0,1.0,-1.0
52.49,13.48,3.0,20.490000000000002,6.830000000000001,22.116666999999996,3.0,3.0,0.0,-3.0
52.49,13.49,2.0,14.870000000000001,7.4350000000000005,23.841666500000002,2.0,2.0,2.0,0.0
52.495000000000005,13.290000000000001,4.0,29.55,7.3875,11.0666665,4.0,4.0,5.0,1.0
52.495000000000005,13.295,2.0,9.7,4.85,32.166667,2.0,2.0,2.0,0.0
52.495000000000005,13.3,7.0,37.34,5.3342857142857145,17.554762,7.0,7.0,7.0,0.0
52.495000000000005,13.305,6.0,19.3,3.216666666666667,25.922222166666668,6.0,6.0,4.0,-2.0
52.495000000000005,13.31,103.0,670.57,6.510388349514564,13.75242718446602,88.0,84.0,136.0,33.0
52.495000000000005,13.315,93.0,550.41,5.918387096774193,13.432795709677421,76.0,75.0,104.0,11.0
52.495000000000005,13.32,125.0,841.63,6.73304,11.715866664,103.0,95.0,164.0,39.0
52.495000000000005,13.325000000000001,249.0,1466.7,5.890361445783133,12.69551540562249,193.0,202.0,314.0,65.0
52.495000000000005,13.33,188.0,1212.4,6.448936170212766,12.74929080319149,150.0,148.0,259.0,71.0
52.495000000000005,13.335,185.0,1120.4,6.0562162162162165,13.764054032432432,151.0,132.0,239.0,54.0
52.495000000000005,13.34,170.0,896.29,5.272294117647059,10.914901935294118,130.0,126.0,210.0,40.0
52.495000000000005,13.345,175.0,980.65,5.603714285714285,12.508666645714285,128.0,136.0,243.0,68.0
52.495000000000005,13.35,90.0,524.18,5.824222222222222,13.336666722222223,75.0,71.0,144.0,54.0
52.495000000000005,13.355,227.0,1111.93,4.8983700440528635,14.16975037444934,178.0,179.0,291.0,64.0
52.495000000000005,13.36,367.0,1638.79,4.465367847411444,19.26130791280654,261.0,300.0,520.0,153.0
52.495000000000005,13.365,83.0,378.31,4.557951807228916,20.74759034939759,70.0,79.0,129.0,46.0
52.495000000000005,13.370000000000001,25.0,129.75,5.19,13.339333360000001,20.0,24.0,46.0,21.0
52.495000000000005,13.375,10.0,36.300000000000004,3.6300000000000003,11.5783334,5.0,10.0,13.0,3.0
52.495000000000005,13.38,23.0,87.38,3.7991304347826085,15.33188408695652,18.0,22.0,25.0,2.0
